id,unique_id,candidateid,ballotorder,first,last,party,polid,polnum
polid-1746,polid-1746,22310,1,Hillary,Clinton,Dem,1746,18855
polid-1445,polid-1445,22311,3,Bernie,Sanders,Dem,1445,18856
polid-22603,polid-22603,22312,2,Martin,O'Malley,Dem,22603,18857
polid-100004,polid-100004,22340,4,,Uncommitted,Dem,100004,16613
polid-100007,polid-100007,22343,5,,Other,Dem,100007,17474
polid-61815,polid-61815,22324,4,Ted,Cruz,GOP,61815,18862
polid-8639,polid-8639,22337,12,Donald,Trump,GOP,8639,18873
polid-53044,polid-53044,22335,10,Marco,Rubio,GOP,53044,18872
polid-64509,polid-64509,22322,2,Ben,Carson,GOP,64509,18860
polid-60208,polid-60208,22333,9,Rand,Paul,GOP,60208,18871
polid-1239,polid-1239,22321,1,Jeb,Bush,GOP,1239,18859
polid-60339,polid-60339,22326,5,Carly,Fiorina,GOP,60339,18864
polid-36679,polid-36679,22331,8,John,Kasich,GOP,36679,18869
polid-1187,polid-1187,22329,7,Mike,Huckabee,GOP,1187,18867
polid-60051,polid-60051,22323,3,Chris,Christie,GOP,60051,18861
polid-1752,polid-1752,22336,11,Rick,Santorum,GOP,1752,18541
polid-100007,polid-100007,22342,13,,Other,GOP,100007,17474
polid-45650,polid-45650,22345,6,Jim,Gilmore,GOP,45650,18865
