id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
16672-polid-1746-1,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,state,True,P,President,Dem,1746,18855,1681,100.0,1681,1,,False,,,Iowa,IA,False,False,701,0.498578,True
16672-polid-1445-1,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,state,True,P,President,Dem,1445,18856,1681,100.0,1681,1,,False,,,Iowa,IA,False,False,697,0.495733,False
16672-polid-22603-1,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,state,True,P,President,Dem,22603,18857,1681,100.0,1681,1,,False,,,Iowa,IA,False,False,8,0.00569,False
16672-polid-100004-1,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,,,False,False,,Uncommitted,2016-02-02T18:05:32Z,state,True,P,President,Dem,100004,16613,1681,100.0,1681,1,,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-1,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,,,False,False,,Other,2016-02-02T18:05:32Z,state,True,P,President,Dem,100007,17474,1681,100.0,1681,1,,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16001,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19001,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,5,100.0,5,16001,Adair,False,,,Iowa,IA,False,False,168,0.56,True
16672-polid-1445-16001,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19001,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,5,100.0,5,16001,Adair,False,,,Iowa,IA,False,False,132,0.44,False
16672-polid-100004-16001,polid-100004,16672,Caucus,E,4,22340,,2016-02-01,19001,,False,False,,Uncommitted,2016-02-02T18:05:32Z,county,True,P,President,Dem,100004,16613,5,100.0,5,16001,Adair,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-100007-16001,polid-100007,16672,Caucus,E,5,22343,,2016-02-01,19001,,False,False,,Other,2016-02-02T18:05:32Z,county,True,P,President,Dem,100007,17474,5,100.0,5,16001,Adair,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-22603-16001,polid-22603,16672,Caucus,E,2,22312,,2016-02-01,19001,Martin,False,False,,O'Malley,2016-02-02T18:05:32Z,county,True,P,President,Dem,22603,18857,5,100.0,5,16001,Adair,False,,,Iowa,IA,False,False,0,0.0,False
16672-polid-1746-16002,polid-1746,16672,Caucus,E,1,22310,,2016-02-01,19003,Hillary,False,False,,Clinton,2016-02-02T18:05:32Z,county,True,P,President,Dem,1746,18855,5,100.0,5,16002,Adams,False,,,Iowa,IA,False,False,113,0.567839,True
16672-polid-1445-16002,polid-1445,16672,Caucus,E,3,22311,,2016-02-01,19003,Bernie,False,False,,Sanders,2016-02-02T18:05:32Z,county,True,P,President,Dem,1445,18856,5,100.0,5,16002,Adams,False,,,Iowa,IA,False,False,86,0.432161,False
